date,year_month,year,month,sales_rep_key,sales_agent,monthly_pipeline_value,monthly_weighted_pipeline_value,closed_won_revenue,closed_lost_value,avg_days_to_close,win_rate,average_deal_size,conversion_rate,closed_won_revenue_rolling_3m,closed_won_revenue_rolling_6m,revenue_target,target_attainment_ratio,exceeded_target
2017-03-01,2017-03,2017,3,21,Reed Clapper,39748.0,39748.0,39748.0,0.0,54.31818181818182,0.8636363636363636,1806.7272727272727,0.8636363636363636,39748.0,39748.0,43833.6,0.906792962476274,False
2017-04-01,2017-04,2017,4,21,Reed Clapper,29196.0,29196.0,29196.0,0.0,5.782608695652174,0.391304347826087,1269.391304347826,0.391304347826087,34472.0,34472.0,39748.0,0.7345275233974037,False
2017-05-01,2017-05,2017,5,21,Reed Clapper,51129.0,51129.0,51129.0,0.0,47.193548387096776,0.6129032258064516,1649.3225806451612,0.6129032258064516,40024.333333333336,40024.333333333336,34472.0,1.4832037595729868,True
2017-06-01,2017-06,2017,6,21,Reed Clapper,54764.0,54764.0,54764.0,0.0,65.46153846153847,0.8076923076923077,2106.3076923076924,0.8076923076923077,45029.666666666664,43709.25,40024.333333333336,1.3682676371873776,True
2017-07-01,2017-07,2017,7,21,Reed Clapper,37436.0,37436.0,37436.0,0.0,7.321428571428571,0.4642857142857143,1337.0,0.4642857142857143,47776.333333333336,42454.6,45029.666666666664,0.8313630273375331,False
2017-08-01,2017-08,2017,8,21,Reed Clapper,52743.0,52743.0,52743.0,0.0,56.13636363636363,0.7727272727272727,2397.409090909091,0.7727272727272727,48314.333333333336,44169.333333333336,47776.333333333336,1.103956631246991,True
2017-09-01,2017-09,2017,9,21,Reed Clapper,49740.0,49740.0,49740.0,0.0,58.92,0.76,1989.6,0.76,46639.666666666664,45834.666666666664,48314.333333333336,1.029508151480237,True
2017-10-01,2017-10,2017,10,21,Reed Clapper,21244.0,21244.0,21244.0,0.0,5.181818181818182,0.7272727272727273,1931.2727272727273,0.7272727272727273,41242.333333333336,44509.333333333336,46639.666666666664,0.455492106147128,False
2017-11-01,2017-11,2017,11,21,Reed Clapper,40107.0,40107.0,40107.0,0.0,51.55,0.6,2005.35,0.6,37030.333333333336,42672.333333333336,41242.333333333336,0.9724716512968066,False
2017-12-01,2017-12,2017,12,21,Reed Clapper,62229.0,62229.0,62229.0,0.0,71.3103448275862,0.6206896551724138,2145.8275862068967,0.6206896551724138,41193.333333333336,43916.5,37030.333333333336,1.68048716817744,True
2016-12-01,2016-12,2016,12,25,Rosalina Dieter,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,18107.923076923078,0.0,False
2017-01-01,2017-01,2017,1,25,Rosalina Dieter,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,True
